,,B,A,avg_B_normA,norm_A,sumB,sumA,norm_A-B
194,沧州市,7056316,7579862,7857084,8657852,1400259601,1225913092,1601536
195,石家庄市,14733213,13033796,14810322.5,14887432,1400259601,1225913092,154219
196,秦皇岛市,3343276,3210703.8,3505299.6,3667323,1400259601,1225913092,324046
197,衡水市,3760326,4440938.4,4416422.1,5072518,1400259601,1225913092,1312192
198,邢台市,7111788,8709766.6,8530118.6,9948449,1400259601,1225913092,2836661
199,邯郸市,9810253,11276365.6,11345158.3,12880064,1400259601,1225913092,3069811
200,三门峡市,1851709,2018030.4,2078369.6,2305030,1400259601,1225913092,453321
201,信阳市,4408170,6353821.2,5832808.4,7257447,1400259601,1225913092,2849277
202,南阳市,6740011,8696977.6,8336926.4,9933842,1400259601,1225913092,3193831
203,周口市,6629725,10467100.2,9292716.2,11955707,1400259601,1225913092,5325981
204,商丘市,6212075,8404316.6,7905817,9599559,1400259601,1225913092,3387484
205,安阳市,5593536,6501288.6,6509711.5,7425887,1400259601,1225913092,1832351
206,平顶山市,3929771,4673297,4633846.6,5337922,1400259601,1225913092,1408151
207,开封市,3682807,4623264,4481790.3,5280774,1400259601,1225913092,1597967
208,新乡市,5760212,6468712.2,6574444.4,7388677,1400259601,1225913092,1628466
209,洛阳市,7316905,7772100,8097167.4,8877430,1400259601,1225913092,1560525
210,漯河市,1918229,2324315.6,2286551.7,2654874,1400259601,1225913092,736645
211,濮阳市,3372708,4124748.4,4042034.4,4711361,1400259601,1225913092,1338653
212,焦作市,4233949,4560174.6,4721330.3,5208712,1400259601,1225913092,974763
213,许昌市,3800421,4621021.4,4539316.6,5278212,1400259601,1225913092,1477791
214,郑州市,17194749,9761219.4,14172092.9,11149437,1400259601,1225913092,-6045311
215,驻马店市,4966826,7064531.2,6518029.1,8069232,1400259601,1225913092,3102406
216,鹤壁市,1540791,1809977.8,1804090.2,2067389,1400259601,1225913092,526597
217,丽水市,1726371,1593103.2,1773021.1,1819671,1400259601,1225913092,93299
218,台州市,6501199,4644376,5903043.3,5304888,1400259601,1225913092,-1196310
219,嘉兴市,5367091,3288044.2,4561376.4,3755662,1400259601,1225913092,-1611429
220,宁波市,11391707,6102994,9181327.6,6970948,1400259601,1225913092,-4420760
221,杭州市,14892218,6284935.8,11035491.5,7178765,1400259601,1225913092,-7713453
222,温州市,10821042,6746476.4,9263493.4,7705945,1400259601,1225913092,-3115097
223,湖州市,2926503,1923026,2561508.7,2196514,1400259601,1225913092,-729989
224,绍兴市,5578902,3736514,4923407.1,4267912,1400259601,1225913092,-1310990
225,舟山市,985597,676853.2,879355.6,773114,1400259601,1225913092,-212484
226,衢州市,1742707,1803574.4,1901391.2,2060075,1400259601,1225913092,317367
227,金华市,7772230,4188179.4,6278021.7,4783813,1400259601,1225913092,-2988418
228,万宁市,430007,479037,488585.8,547165,1400259601,1225913092,117158
229,三亚市,1590630,1313234.2,1545314.3,1499999,1400259601,1225913092,-90630
230,东方市,348798,344967.6,371412.8,394028,1400259601,1225913092,45230
231,临高县,275727,332578.2,327801.9,379877,1400259601,1225913092,104150
232,乐东黎族自治县,312712,363104.2,363727.8,414744,1400259601,1225913092,102032
233,五指山市,88220,70214.4,84210.1,80200,1400259601,1225913092,-8020
234,保亭黎族苗族自治县,120019,125684.6,131788.8,143559,1400259601,1225913092,23541
235,儋州市,752560,822963.6,846281.8,940004,1400259601,1225913092,187444
236,定安县,181599,213277.6,212604,243609,1400259601,1225913092,62010
237,屯昌县,173687,197822.6,199821.4,225956,1400259601,1225913092,52270
238,文昌市,402107,429496.6,446343,490579,1400259601,1225913092,88472
239,昌江黎族自治县,179056,170442,186869.1,194682,1400259601,1225913092,15626
240,海口市,3119954,1724945.8,2545108.9,1970264,1400259601,1225913092,-1149690
241,澄迈县,382789,412682.4,427081.1,471373,1400259601,1225913092,88584
242,琼中黎族苗族自治县,118541,126555.6,131547.4,144554,1400259601,1225913092,26013
243,琼海市,516975,544825.6,569642.2,622309,1400259601,1225913092,105334
244,白沙黎族自治县,100720,125062.8,121784.3,142849,1400259601,1225913092,42129
245,陵水黎族自治县,332811,315898.6,346818,360825,1400259601,1225913092,28014
246,仙桃市,909284,1303811.4,1199259.9,1489236,1400259601,1225913092,579953
247,十堰市,2854494,3209387.8,3260156.3,3665819,1400259601,1225913092,811326
248,咸宁市,2042987,2610414.8,2512324.6,2981662,1400259601,1225913092,938675
249,天门市,719296,1212178,1051933.6,1384571,1400259601,1225913092,665275
250,孝感市,3370091,4258688.6,4117219.8,4864349,1400259601,1225913092,1494259
251,宜昌市,3352621,3494210.4,3671884.8,3991149,1400259601,1225913092,638528
252,恩施土家族苗族自治州,2681736,3280838.4,3214583.9,3747432,1400259601,1225913092,1065696
253,武汉市,17265861,9668527,14154711.7,11043562,1400259601,1225913092,-6222299
254,潜江市,662565,886860.6,837776.4,1012988,1400259601,1225913092,350423
255,神农架林区,65776,65212.8,70131.5,74487,1400259601,1225913092,8711
256,荆州市,3434781,4786925.6,4451245.9,5467711,1400259601,1225913092,2032930
257,荆门市,1938593,2465401.4,2377308.9,2816025,1400259601,1225913092,877432
258,襄樊市,4330988,5105235,5081139.1,5831290,1400259601,1225913092,1500301
259,鄂州市,890907,1050740,1045540.4,1200174,1400259601,1225913092,309267
260,随州市,1310261,1933391.2,1759307.7,2208354,1400259601,1225913092,898092
261,黄冈市,3788769,6180984.4,5424399.5,7060030,1400259601,1225913092,3271261
262,黄石市,2210220,2617083.4,2599749.4,2989279,1400259601,1225913092,779059
263,娄底市,2815089,3410384.2,3355244.9,3895401,1400259601,1225913092,1080312
264,岳阳市,3619941,4300932,4266270.9,4912601,1400259601,1225913092,1292660
265,常德市,3141170,3873323.2,3782674.1,4424178,1400259601,1225913092,1283008
266,张家界市,1020420,1234246.8,1215099.4,1409779,1400259601,1225913092,389359
267,怀化市,3194413,3561027.8,3630940.8,4067469,1400259601,1225913092,873056
268,株洲市,3119354,2937435,3237272.1,3355190,1400259601,1225913092,235836
269,永州市,3003359,4418170.2,4024935.3,5046512,1400259601,1225913092,2043153
270,湘潭市,2198011,2158531.8,2331762.1,2465513,1400259601,1225913092,267502
271,湘西土家族苗族自治州,1880066,2114978,2147915.4,2415765,1400259601,1225913092,535699
272,益阳市,2372321,3017957.2,2909742.4,3447164,1400259601,1225913092,1074843
273,衡阳市,4526058,5609290.8,5466544.3,6407031,1400259601,1225913092,1880973
274,邵阳市,3900385,5224051.8,4933694.5,5967004,1400259601,1225913092,2066619
275,郴州市,3546755,4140312.6,4137946.7,4729138,1400259601,1225913092,1182383
276,长沙市,11505961,6206608.6,9297629.4,7089298,1400259601,1225913092,-4416663
277,临夏回族自治州,1218938,1161366,1272735.6,1326533,1400259601,1225913092,107595
278,兰州市,5293971,3231592.6,4492576.3,3691182,1400259601,1225913092,-1602788
279,嘉峪关市,397267,299306.2,369570,341873,1400259601,1225913092,-55394
280,天水市,2995754,3153233.2,3298716.6,3601679,1400259601,1225913092,605924
281,定西市,1935183,1910884,2058913.8,2182645,1400259601,1225913092,247463
282,平凉市,1977876,1965520.8,2111464.7,2245053,1400259601,1225913092,267176
283,庆阳市,2185773,1978102.8,2222598.5,2259424,1400259601,1225913092,73651
284,张掖市,1494660,1423207.6,1560136.6,1625613,1400259601,1225913092,130953
285,武威市,1485618,1528781.4,1615909.3,1746201,1400259601,1225913092,260584
286,甘南藏族自治州,429422,330666.8,403557.4,377693,1400259601,1225913092,-51728
287,白银市,1797970,1830571.2,1944440.7,2090911,1400259601,1225913092,292940
288,酒泉市,1234348,1103327.2,1247293.8,1260240,1400259601,1225913092,25892
289,金昌市,512302,466584,522621.1,532940,1400259601,1225913092,20638
290,陇南市,1806209,1623984,1830576.1,1854943,1400259601,1225913092,48734
291,三明市,2074044,2342614.6,2374909.8,2675776,1400259601,1225913092,601732
292,南平市,1987695,2270541,2290573.4,2593452,1400259601,1225913092,605757
293,厦门市,6742642,3005434.8,5087751.4,3432861,1400259601,1225913092,-3309781
294,宁德市,2238070,2606393.4,2607569.6,2977069,1400259601,1225913092,738998
295,泉州市,10426040,8114340.6,9847191.7,9268343,1400259601,1225913092,-1157697
296,漳州市,4235302,4421086.2,4642572.5,5049843,1400259601,1225913092,814541
297,福州市,9859006,6844698.2,8838570.5,7818135,1400259601,1225913092,-2040871
298,莆田市,3293624,3548696.6,3673503.8,4053384,1400259601,1225913092,759760
299,龙岩市,2090240,2484378,2463970.1,2837700,1400259601,1225913092,747460
300,山南地区,124981,96599.2,117658.9,110337,1400259601,1225913092,-14643
301,拉萨市,501973,354031.2,453177.2,404381,1400259601,1225913092,-97593
302,日喀则地区,141484,117657.4,137936.8,134390,1400259601,1225913092,-7093
303,昌都地区,110058,76985.6,98996.1,87934,1400259601,1225913092,-22124
304,林芝地区,128014,99696.4,120944.5,113875,1400259601,1225913092,-14139
305,那曲地区,74930,54893.6,68815.1,62700,1400259601,1225913092,-12230
306,阿里地区,48958,39065.2,46789.7,44621,1400259601,1225913092,-4337
307,六盘水市大湾镇,2349492,2112122.2,2380997.6,2412503,1400259601,1225913092,63011
308,安顺市,2117339,1949190.2,2171869,2226399,1400259601,1225913092,109060
309,毕节地区,4444686,4446482,4761767.9,5078850,1400259601,1225913092,634165
310,贵阳市,7647851,4286647.8,6272068.1,4896285,1400259601,1225913092,-2751566
311,遵义市,5942715,5164970,5921117.4,5899520,1400259601,1225913092,-43195
312,铜仁地区,2872371,2796385.2,3033226.1,3194081,1400259601,1225913092,321709
313,黔东南苗族侗族,3742192,3802459,4042714.1,4343236,1400259601,1225913092,601044
314,黔南布依族苗族,3213777,2979695.2,3308619.2,3403461,1400259601,1225913092,189683
315,黔西南布依族苗族,2654492,2511537.6,2761607.3,2868723,1400259601,1225913092,214231
316,丹东市,1788741,1893880.6,1975982.5,2163224,1400259601,1225913092,374483
317,大连市,7783043,5768541.4,7185986.7,6588930,1400259601,1225913092,-1194113
318,抚顺市,1625949,1653420,1757257.4,1888566,1400259601,1225913092,262617
319,朝阳市,2266978,2449564.6,2532457,2797936,1400259601,1225913092,530958
320,本溪市,1158672,1162072.4,1243005.9,1327340,1400259601,1225913092,168668
321,沈阳市,10145737,7146433.8,9154260.1,8162783,1400259601,1225913092,-1982954
322,盘锦市,1332805,1162132.6,1330106.7,1327408,1400259601,1225913092,-5397
323,营口市,2189860,2150498.6,2323099.1,2456338,1400259601,1225913092,266477
324,葫芦岛市,2113663,2225260.6,2327697.5,2541732,1400259601,1225913092,428069
325,辽阳市,1426212,1431844.6,1530845.1,1635478,1400259601,1225913092,209266
326,铁岭市,2221148,2353529.4,2454695.7,2688243,1400259601,1225913092,467094
327,锦州市,2505533,2503743.8,2682676.7,2859820,1400259601,1225913092,354287
328,阜新市,1601611,1613523.2,1722302.8,1842995,1400259601,1225913092,241384
329,鞍山市,2993094,2987215,3202572.1,3412050,1400259601,1225913092,418956
330,重庆市,31393288,26917324,31069365.3,30745443,1400259601,1225913092,-647844
331,咸阳市,5245465,5437445.4,5728105.6,6210746,1400259601,1225913092,965281
332,商洛市,1339282,1565554.4,1563743,1788204,1400259601,1225913092,448922
333,安康市,1872742,2160384.6,2170185.3,2467629,1400259601,1225913092,594888
334,宝鸡市,3578550,3858473.8,3992883.7,4407217,1400259601,1225913092,828667
335,延安市,2377415,1980699.8,2319902.3,2262390,1400259601,1225913092,-115024
336,榆林市,3635349,3038227.2,3552832.8,3470317,1400259601,1225913092,-165032
337,汉中市,2797956,2936300.8,3075925.4,3353895,1400259601,1225913092,555939
338,渭南市,5335591,5887624,6030269.6,6724948,1400259601,1225913092,1389357
339,西安市,16336401,9312781,13486812.1,10637223,1400259601,1225913092,-5699178
340,铜川市,703084,725027.6,765611.7,828139,1400259601,1225913092,125055
341,果洛藏族自治州,48241,31808.6,42286.5,36332,1400259601,1225913092,-11909
342,海东地区,854460,878771.4,929104,1003748,1400259601,1225913092,149288
343,海北藏族自治州,235211,197662.4,230492.2,225773,1400259601,1225913092,-9438
344,海南藏族自治州,236593,188819.8,226133.1,215673,1400259601,1225913092,-20920
345,海西蒙古族藏族自治州直辖,589573,415484.2,532073.2,474573,1400259601,1225913092,-115000
346,玉树藏族自治州,82847,65695.8,78942.9,75039,1400259601,1225913092,-7808
